Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Love Makes the World Go Round,Presenting Deon Jackson,1965-05-06,['Deon Jackson'],,1966,62,152466,34,0.716,0.664,0.318,0.0,0.096,-12.934,0.0486,121.39,0.617,5,0,4
Independent Women Part 1 (As Made Famous By Destiny's Child),Drew's Famous # 1 Karaoke Hits: 2000's Party Hits Vol. 1,2011-02-15,['The Karaoke Crew'],karaoke,2000,97,237000,0,0.357,0.895,0.36,0.000121,0.195,-11.312,0.425,98.053,0.867,6,0,4
Bust A Move,Stone Cold Rhymin',1989-01-01,['Young MC'],"miami bass, hip house",1989,42,263914,66,0.0512,0.946,0.772,2.26e-06,0.0612,-7.537,0.121,116.972,0.743,4,0,4
You Can't Change That,Rock On,,['Raydio'],yacht rock,1979,30,203080,52,0.27,0.691,0.706,0.0,0.272,-5.983,0.115,169.722,0.892,1,0,4
Suspicion,Suspicion,,['Terry Stafford'],"classic oklahoma country, deep adult standards",1964,22,154906,46,0.678,0.595,0.57,0.291,0.13,-11.301,0.0356,137.757,0.884,2,1,4
One More Day,One More Day,2001-02-02,['Diamond Rio'],"contemporary country, country road, country",2001,86,216173,57,0.592,0.668,0.405,0.0,0.115,-7.629,0.0277,131.064,0.234,4,1,4
You,Jesse Powell,1996-01-01,"['Jesse Powell', 'Gerald Albright']","smooth saxophone, contemporary r&b, jazz saxophone, smooth jazz, r&b",1999,59,318466,57,0.299,0.722,0.327,0.000661,0.0549,-9.612,0.026,112.249,0.266,0,0,4
I'm Sprung,Rappa Ternt Sanga (Expanded Edition),2005-12-06,['T-Pain'],"gangster rap, southern hip hop, dance pop, urban contemporary, rap, trap, hip hop, pop rap, r&b",2005,95,231040,72,0.0948,0.728,0.327,0.0,0.103,-11.596,0.0999,100.0,0.195,0,0,4
That's My Kind Of Night,Crash My Party,2013-01-01,['Luke Bryan'],"country road, contemporary country, country",2013,78,190186,75,0.0571,0.661,0.751,0.0,0.105,-2.909,0.0481,109.995,0.875,7,1,4
Tubular Bells - Pt. I,Tubular Bells,1973-02-01,['Mike Oldfield'],"progressive rock, symphonic rock",1974,79,1561133,50,0.564,0.374,0.219,0.56,0.114,-19.104,0.0343,103.535,0.0579,4,0,4
Clarity,Clarity,2012-01-01,"['Zedd', 'Foxes']","pop dance, edm, complextro, electropop, metropopolis, pop, german techno, uk pop",2013,24,271426,77,0.0398,0.509,0.781,0.0,0.0749,-3.48,0.072,128.0,0.176,8,1,4
How Deep Is Your Love,How Can You Mend A Broken Heart,2020-12-11,['Bee Gees'],"soft rock, disco",1971,5,241093,77,0.076,0.594,0.5,9.86e-05,0.184,-5.586,0.0255,104.996,0.537,5,0,4
Die Young,Warrior (Expanded Edition),2012-11-30,['Kesha'],"pop, dance pop",2013,57,211920,80,0.00498,0.711,0.7,0.000125,0.215,-4.805,0.046,128.001,0.801,1,0,4
Papa Was A Rollin' Stone - Single Version,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s",2000-01-11,['The Temptations'],"motown, soul, memphis soul",1973,100,419640,66,0.451,0.817,0.405,0.0507,0.0468,-13.513,0.0811,121.467,0.898,10,0,4
"Answer Me, My Love",The Nat King Cole Story,1991-01-01,['Nat King Cole'],"adult standards, swing, vocal jazz, lounge, soul",1954,18,175600,34,0.829,0.276,0.236,0.0,0.235,-16.202,0.0315,81.903,0.237,2,1,1
Can I Change My Mind,Can I Change My Mind,,['Tyrone Davis'],"southern soul, chicago soul",1969,62,177733,41,0.314,0.545,0.669,0.0,0.0553,-6.239,0.0456,102.041,0.886,1,0,4
Sundown,Sundown,,['Gordon Lightfoot'],"canadian country, heartland rock, country rock, canadian singer-songwriter, folk, folk rock, soft rock, mellow gold, singer-songwriter, classic rock",1974,27,213400,74,0.334,0.794,0.427,1.04e-05,0.0703,-15.492,0.029,105.732,0.751,11,1,4
Cathy's Clown - 2007 Remaster,A Date with The Everly Brothers,,['The Everly Brothers'],"folk rock, rock-and-roll, adult standards, rockabilly, mellow gold, sunshine pop",1960,3,145933,53,0.548,0.507,0.561,0.0,0.59,-10.472,0.0353,120.042,0.89,7,1,4
I Just Can't Stop Loving You (feat. Siedah Garrett),With Love,2008-02-22,"['Michael Jackson', 'Siedah Garrett']","soul, r&b, freestyle",1987,45,252520,0,0.646,0.654,0.444,2.6e-06,0.0414,-9.959,0.0353,100.163,0.274,5,1,4
If I Can't Have You,The Best Of Yvonne Elliman,1997-01-01,['Yvonne Elliman'],disco,1978,19,180160,59,0.102,0.616,0.681,1.47e-06,0.296,-10.773,0.0416,109.454,0.811,11,1,4
I Can Help,The Best Of Billy Swan,,['Billy Swan'],swamp pop,1975,44,238333,51,0.511,0.471,0.675,0.019,0.232,-9.07,0.0513,125.313,0.53,0,1,4
Whatta Man,Very Necessary,1993-10-12,"['Salt-N-Pepa', 'En Vogue']","hip pop, new jack swing, urban contemporary, queens hip hop, girl group, golden age hip hop, old school hip hop, contemporary r&b, hip hop, r&b",1994,14,308360,67,0.154,0.757,0.544,6.07e-05,0.226,-10.722,0.219,173.208,0.921,5,1,4
Burn,Halcyon Nights,2012-10-12,['Ellie Goulding'],"pop, indietronica, metropopolis, uk pop",2014,39,231213,74,0.315,0.555,0.772,0.0,0.105,-5.007,0.0523,86.921,0.346,1,1,4
Play That Funky Music,To The Extreme,1990-01-01,['Vanilla Ice'],miami hip hop,1991,57,285800,42,0.000928,0.851,0.514,3.58e-06,0.381,-15.279,0.165,100.425,0.573,4,0,4
If You Don't Know Me by Now - 2008 Remaster,A New Flame (Expanded Version),,['Simply Red'],"soft rock, sophisti-pop, british soul, new wave pop, new romantic",1989,24,204000,73,0.492,0.638,0.352,0.0,0.105,-9.266,0.0268,94.173,0.204,10,1,3
Woman in Love,Guilty,1980-09-23,['Barbra Streisand'],"operatic pop, adult standards",1981,35,231840,71,0.248,0.469,0.278,0.000126,0.133,-16.311,0.028,169.735,0.331,3,0,4
The Hardest Thing,98 Degrees And Rising,1998-01-01,['98º'],boy band,1999,37,274600,55,0.182,0.721,0.498,0.0,0.0769,-7.43,0.0274,88.007,0.558,10,1,4
Cater 2 U,Destiny Fulfilled,2004-11-16,"[""Destiny's Child""]","dance pop, urban contemporary, girl group, pop, r&b",2005,66,245400,63,0.286,0.605,0.584,0.0,0.235,-7.043,0.197,125.802,0.464,11,0,4
When We Were Young,25,2015-11-20,['Adele'],"pop, british soul, pop soul, uk pop",2016,83,290900,76,0.303,0.376,0.595,0.0,0.095,-5.936,0.0496,144.361,0.265,3,1,4
No Limit (feat. Young Thug),Hard II Love,2016-09-16,"['Usher', 'Young Thug']","melodic rap, dance pop, trap, south carolina hip hop, gangster rap, urban contemporary, atl hip hop, contemporary r&b, rap, atl trap, pop, r&b",2016,90,228613,61,0.0799,0.717,0.523,0.0,0.206,-6.506,0.0611,127.047,0.282,10,0,4
Bobby Sox to Stockings,Venus,2018-03-22,['Frankie Avalon'],"doo-wop, rock-and-roll, adult standards, rockabilly, bubblegum pop, easy listening",1959,70,159948,33,0.781,0.608,0.405,0.0,0.263,-12.973,0.031,117.758,0.617,7,0,4
Complicated,Let Go,2002-06-04,['Avril Lavigne'],"candy pop, pop, canadian pop",2002,11,244506,81,0.0572,0.585,0.776,7.74e-06,0.3,-5.898,0.0459,77.987,0.427,5,1,4
Get Off - Remastered,Get Off (Remastered),2011-02-08,['Foxy'],"deep disco, post-disco, disco",1978,85,341293,44,0.0107,0.93,0.547,0.000856,0.056,-8.289,0.219,130.793,0.955,9,1,4
Iesha,Coolin' At The Playground Ya Know!,1991-02-11,['Another Bad Creation'],"contemporary r&b, boy band, new jack swing",1991,54,261906,41,0.0403,0.714,0.786,0.0,0.0302,-9.717,0.164,111.855,0.692,1,1,4
Foolish Games,Pieces Of You,1995-02-28,['Jewel'],"alaska indie, lilith, permanent wave, singer-songwriter, pop rock, ectofolk",1997,2,340666,58,0.945,0.296,0.0724,0.000334,0.0948,-16.457,0.0374,131.397,0.178,5,1,4
Today Was A Fairytale (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,['Taylor Swift'],pop,2010,84,241822,68,0.0135,0.482,0.779,0.0,0.296,-5.025,0.0409,158.162,0.328,7,1,4
My Sweet Lord - 2014 Remaster,All Things Must Pass (2014 Remaster),1970-11-20,['George Harrison'],"rock, folk rock, beatlesque, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1971,31,281231,78,0.083,0.539,0.69,0.0,0.0847,-9.019,0.0332,120.983,0.553,1,0,4
Babe,Cornerstone,1979-01-01,['Styx'],"glam metal, hard rock, rock, progressive rock, album rock, soft rock, mellow gold, classic rock",1980,20,265973,68,0.527,0.267,0.204,0.0,0.0924,-13.714,0.0317,169.486,0.0903,2,1,4
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),2021-07-23,"['Lil Nas X', 'Jack Harlow']","rap, pop rap, lgbtq+ hip hop, deep underground hip hop, kentucky hip hop",2022,16,212000,83,0.0203,0.736,0.704,0.0,0.0501,-7.409,0.0615,149.995,0.894,3,0,4
Do You Know What I Mean,5th (Remastered),1971-11-20,['Lee Michaels'],hammond organ,1971,19,193800,47,0.158,0.788,0.861,1.35e-05,0.0199,-9.745,0.0623,109.232,0.95,0,1,4
The Way We Were / Try to Remember,I Feel A Song (Expanded Edition),,['Gladys Knight & The Pips'],"soul, funk, motown, classic soul, quiet storm, disco",1975,54,271453,39,0.354,0.285,0.265,2.76e-06,0.744,-12.542,0.0418,147.194,0.231,7,1,4
The Sweetest Taboo,Promise,1985-11-04,['Sade'],"british soul, sophisti-pop",1986,55,277373,66,0.128,0.752,0.823,0.0098,0.303,-9.455,0.0447,91.563,0.962,10,0,4
"Main Title - From ""Star Wars""",Some Famous Soundtracks,2018-09-28,"['London Symphony Orchestra', 'Gavin Greenaway']","orchestra, british orchestra, classical, british soundtrack, soundtrack",1977,99,368560,0,0.668,0.242,0.396,0.924,0.0529,-13.273,0.0384,114.563,0.0985,0,1,4
In My Bed,Dru Hill,1996-11-19,['Dru Hill'],"contemporary r&b, urban contemporary, r&b",1997,27,284600,54,0.436,0.714,0.37,0.0,0.0518,-7.395,0.0321,118.11,0.334,6,0,4
A Well Respected Man,Kinda Kinks (Deluxe),1965-03-05,['The Kinks'],"folk rock, rock, singer-songwriter, british invasion, protopunk, psychedelic rock, classic rock, art rock, album rock, glam rock",1966,100,161586,65,0.297,0.53,0.873,0.0,0.0521,-5.105,0.118,162.154,0.583,4,0,4
Come Over,Welcome To The Fishbowl,2012-06-19,['Kenny Chesney'],"country road, contemporary country, country",2012,76,248426,58,0.1,0.466,0.704,2.71e-05,0.0744,-7.169,0.0353,176.043,0.481,1,1,4
Girl Crush,Pain Killer,2014-10-21,['Little Big Town'],"country road, contemporary country, country, country dawn",2015,63,193320,71,0.842,0.5,0.225,0.0,0.112,-10.22,0.0302,173.788,0.355,0,1,3
Another Sad Love Song,Toni Braxton,1993-07-13,['Toni Braxton'],"contemporary r&b, dance pop, urban contemporary, r&b",1993,46,301560,56,0.0142,0.78,0.711,3.75e-05,0.0366,-7.429,0.0476,96.067,0.859,2,1,4
SOS,A Girl Like Me,2006-04-10,['Rihanna'],"urban contemporary, barbadian pop, pop",2006,19,238920,78,0.004,0.677,0.671,5.07e-05,0.413,-4.905,0.0361,137.046,0.527,7,1,4
Ain't No Mountain High Enough - Short Promo Version,The Complete Motown Singles Vol. 10: 1970,2008-06-27,['Diana Ross'],"soul, motown, quiet storm, soft rock, adult standards, disco",1970,6,244813,5,0.449,0.409,0.94,6.91e-05,0.304,-2.021,0.0677,100.018,0.445,0,0,4
The Hills,Beauty Behind The Madness,2015-08-28,['The Weeknd'],"pop, canadian pop, canadian contemporary r&b",2015,10,242253,88,0.0671,0.585,0.564,0.0,0.135,-7.063,0.0515,113.003,0.137,0,0,4
I'm Sorry,Windsong,,['John Denver'],"folk rock, folk, classic country pop, soft rock, mellow gold, singer-songwriter",1975,77,211773,51,0.891,0.447,0.236,0.00151,0.201,-15.258,0.0313,127.596,0.527,7,1,4
I Go Crazy,"Singer of Songs, Teller of Tales",1977-03-17,['Paul Davis'],"soft rock, yacht rock",1978,12,233893,56,0.259,0.534,0.457,0.0004,0.203,-8.66,0.0266,140.798,0.271,4,0,4
The Crazy Otto Medley,Red Hot Ragtime Volume 1,2001-04-12,['Johnny Maddox'],honky-tonk piano,1955,11,172613,20,0.875,0.494,0.575,0.964,0.16,-8.398,0.0408,123.849,0.948,3,1,4
Sweet but Psycho,Heaven & Hell,2020-09-18,['Ava Max'],pop,2019,23,187436,82,0.0684,0.72,0.706,0.0,0.166,-4.719,0.0473,133.002,0.62,1,1,4
Miami Vice Theme,Escape From Television,1987-01-01,['Jan Hammer'],jazz fusion,1985,27,147600,44,0.547,0.571,0.924,0.896,0.432,-9.887,0.0385,115.431,0.854,7,1,4
You Belong With Me (Taylor’s Version),Fearless (Taylor's Version),2021-04-09,['Taylor Swift'],pop,2009,11,231124,85,0.0623,0.632,0.773,0.0,0.0885,-4.856,0.0346,130.033,0.474,6,1,4
Walk Em Down (feat. Roddy Ricch),Top Shotta,2020-08-10,"['NLE Choppa', 'Roddy Ricch']","memphis hip hop, melodic rap, trap, rap",2020,100,173288,75,0.268,0.867,0.744,0.0,0.0713,-5.171,0.227,84.005,0.645,2,1,4
Gin and Juice,Doggystyle,1993-11-23,['Snoop Dogg'],"gangster rap, rap, west coast rap, g funk, hip hop, pop rap",1994,52,211866,76,0.0953,0.603,0.762,1.53e-05,0.478,-7.744,0.285,94.726,0.379,4,0,4
Soldier Boy,Will You Still Love Me Tomorrow,,['The Shirelles'],"doo-wop, rock-and-roll, classic girl group, motown, soul",1962,10,162026,44,0.755,0.576,0.238,0.00026,0.294,-13.354,0.0259,97.587,0.581,10,1,4
Sunglasses At Night,First Offense,,['Corey Hart'],"heartland rock, new wave pop, synthpop, new wave, album rock, soft rock, mellow gold, new romantic",1984,36,320000,59,0.505,0.665,0.624,0.0104,0.518,-11.106,0.049,127.083,0.717,10,0,4
I've Found Someone of My Own,I've Found Someone Of My Own,1971-12-15,['The Free Movement'],,1971,26,226514,30,0.291,0.507,0.547,0.000225,0.164,-11.411,0.0312,91.331,0.614,2,1,4
Got My Mind Set On You,Cloud Nine,1987-11-02,['George Harrison'],"rock, folk rock, beatlesque, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1988,3,234653,74,0.456,0.759,0.85,1.72e-06,0.488,-7.156,0.0418,149.211,0.963,4,1,4
(A Hubba-Hubba-Hubba) Dig You Later,The Very Best Of Perry Como,2000-07-11,['Perry Como'],"adult standards, easy listening",1946,31,182973,16,0.947,0.809,0.379,0.0,0.176,-11.242,0.268,80.225,0.863,1,1,4
Spend My Life With You,A Day in the Life,1999-02-25,"['Eric Benét', 'Tamia', 'Kevin ""K.D."" Davis']","hip pop, new jack swing, urban contemporary, canadian pop, contemporary r&b, neo soul, r&b",1999,65,276013,61,0.434,0.583,0.435,5.49e-05,0.102,-8.784,0.0386,72.01,0.292,8,1,4
Walk Right In,Vanguard Visionaries,2007-01-01,['The Rooftop Singers'],american folk revival,1963,28,157266,42,0.791,0.681,0.66,0.0364,0.0669,-10.426,0.0319,130.019,0.965,3,1,4
Ooh Child,The Way I Am,1993-12-24,['DINO'],,1993,88,254733,18,0.028,0.667,0.899,0.00684,0.905,-7.82,0.0408,96.071,0.82,1,1,4
I Wanna Be Down,Brandy,,['Brandy'],"hip pop, dance pop, urban contemporary, contemporary r&b, r&b",1995,49,291666,66,0.177,0.703,0.469,0.0,0.726,-6.515,0.0415,86.038,0.661,11,0,4
Fly Me To The Moon (Bart Howard),Joe Harnell Plays Solo Piano,2010-08-07,['Joe Harnell'],space age pop,1963,89,152093,23,0.562,0.64,0.361,0.0552,0.133,-14.1,0.041,87.393,0.744,0,0,4
Twenty Miles,Chubby Checker Classics,1962-01-01,['Chubby Checker'],"rockabilly, rock-and-roll",1963,98,131053,20,0.55,0.802,0.647,0.0,0.306,-7.374,0.0323,121.331,0.852,9,1,4
Arcade,Arcade,2019-03-07,['Duncan Laurence'],dutch pop,2021,82,183624,80,0.818,0.45,0.329,0.00109,0.135,-12.603,0.0441,71.884,0.266,9,0,3
Simon Says,Simon Says,1968-04-01,['1910 Fruitgum Company'],"classic garage rock, bubblegum pop, merseybeat",1968,33,138933,38,0.411,0.8,0.632,0.00279,0.115,-10.803,0.0387,134.282,0.986,9,1,4
The Chokin' Kind,The Chokin' Kind,,['Joe Simon'],"philly soul, southern soul",1969,75,160280,33,0.496,0.69,0.506,0.00304,0.0883,-12.531,0.0556,98.781,0.848,8,1,4
Dear Mama,Me Against The World,1995-03-14,['2Pac'],"gangster rap, rap, west coast rap, g funk, hip hop",1995,51,280000,74,0.371,0.773,0.54,0.0,0.131,-7.123,0.103,84.115,0.322,6,1,4
She Got It,Death Before Dishonor,2008-01-01,"['2 Pistols', 'T-Pain', 'Tay Dizm']","gangster rap, southern hip hop, dance pop, urban contemporary, rap, trap, hip hop, florida rap, pop rap, r&b",2008,100,274053,53,0.00436,0.53,0.745,0.0,0.345,-6.19,0.106,134.068,0.269,10,0,4
Un-Break My Heart,Secrets,1996-06-18,['Toni Braxton'],"contemporary r&b, dance pop, urban contemporary, r&b",1996,81,270333,70,0.412,0.625,0.426,0.0,0.116,-8.4,0.0271,110.021,0.112,2,0,4
Let's Live For Today - Uncensored Version,Let's Live For Today,1967-01-01,['The Grass Roots'],"folk rock, soft rock, psychedelic rock, classic garage rock, country rock, bubblegum pop, sunshine pop",1967,70,167760,55,0.462,0.571,0.498,0.0,0.0448,-7.671,0.0288,115.996,0.58,8,0,4
GUMMO,Day69: Graduation Day,2018-04-10,['6ix9ine'],emo rap,2018,56,157643,64,0.0553,0.66,0.775,0.0,0.129,-4.926,0.172,157.036,0.635,2,1,4
Look Back at It,Hoodie SZN,2018-12-21,['A Boogie Wit da Hoodie'],"melodic rap, trap, rap",2019,41,179449,79,0.407,0.791,0.587,0.0,0.148,-5.075,0.0413,96.057,0.536,3,0,4
She Loves You - Mono / Remastered,1 (Remastered),2000-11-13,['The Beatles'],"rock, british invasion, beatlesque, psychedelic rock, classic rock, merseybeat",1964,2,140920,68,0.26,0.377,0.916,0.0,0.074,-3.199,0.0481,75.533,0.912,4,0,4
Ships,One Voice,,['Barry Manilow'],"mellow gold, soft rock, yacht rock, adult standards",1980,98,248733,40,0.719,0.288,0.356,0.0,0.128,-8.264,0.031,125.808,0.107,1,1,4
Fuck It (I Don't Want You Back),I Don't Want You Back,2004-01-23,['Eamon'],,2004,63,225106,66,0.214,0.828,0.653,3.25e-06,0.0404,-6.245,0.0653,68.507,0.575,0,0,4
(I Know) I'm Losing You - Single Version,Ecology,1970-01-01,['Rare Earth'],"british blues, blues rock, country rock, psychedelic rock, psychedelic soul, southern rock, classic rock",1970,55,215986,37,0.573,0.463,0.553,3.66e-05,0.315,-14.648,0.0465,100.608,0.715,6,1,4
I’m a Believer,Good Morning Have a Nice Day,2023-05-12,['The Monkees'],"folk rock, heartland rock, singer-songwriter, rock-and-roll, soft rock, sunshine pop, beatlesque, classic rock, bubblegum pop, album rock, mellow gold",1967,5,167373,0,0.707,0.525,0.775,2.07e-05,0.217,-6.05,0.0344,79.856,0.961,0,1,4
Swing The Mood,Jive Bunny And The Mastermixers The Biggest Party On The Planet,2009-10-19,['Jive Bunny and the Mastermixers'],novelty,1990,97,259573,54,0.049,0.865,0.512,0.0173,0.201,-13.376,0.0521,92.512,0.879,8,1,4
"Baby, I Need Your Lovin'",Rewind,1967-06-23,['Johnny Rivers'],bubblegum pop,1967,95,190200,40,0.781,0.539,0.423,0.0,0.179,-11.667,0.0284,106.946,0.72,0,1,4
Daniel,Don't Shoot Me I'm Only The Piano Player,1973-01-22,['Elton John'],"glam rock, rock, piano rock, mellow gold",1973,48,234666,70,0.38,0.688,0.477,4.93e-05,0.0864,-11.945,0.029,132.071,0.897,0,1,4
I Like It,From The Bottom To The Top,2000-01-01,"['Sammie', 'JT Money']","hip pop, miami hip hop, urban contemporary, dirty south rap, r&b",2000,91,251040,49,0.0101,0.826,0.656,0.000113,0.0272,-8.529,0.0617,129.963,0.852,9,1,4
Lights,An Introduction To Ellie Goulding EP,2010-01-01,['Ellie Goulding'],"pop, indietronica, metropopolis, uk pop",2012,5,244266,67,0.0721,0.703,0.731,0.00191,0.138,-6.283,0.0311,120.028,0.719,8,0,4
Freedom,Make It Big,1984-10-23,['Wham!'],"new wave pop, synthpop, new wave, soft rock, new romantic",1985,76,302200,62,0.42,0.591,0.651,1.94e-06,0.129,-12.882,0.0424,132.538,0.824,0,1,4
Living For The City,The Definitive Collection,2002-10-29,['Stevie Wonder'],"motown, soul",1974,45,219306,55,0.256,0.708,0.538,0.0,0.193,-10.28,0.0686,98.233,0.651,11,1,4
"Fingertips - Pt. 2 / Live At The Regal Theater, 1963",The Definitive Collection,2002-10-29,['Stevie Wonder'],"soul, motown",1963,7,191573,22,0.57,0.323,0.89,0.247,0.332,-7.179,0.29,137.08,0.349,0,1,4
Turn Off The Light,"Whoa, Nelly! (Expanded Edition)",,['Nelly Furtado'],"dance pop, canadian latin, pop, canadian pop",2002,92,276066,61,0.0778,0.589,0.687,0.000289,0.419,-6.222,0.097,180.215,0.649,2,1,4
Here Comes the Hotstepper - Heartical Mix,Here Comes The Hotstepper,,"['Ini Kamoze', 'Salaam Remi']","reggae, hip hop, reggae fusion, roots reggae",1994,85,250466,69,0.0141,0.889,0.454,0.000186,0.203,-8.598,0.221,100.36,0.436,4,0,4
Key West Intermezzo (I Saw You First),Mr. Happy Go Lucky,,['John Mellencamp'],"soft rock, album rock, hard rock, heartland rock, folk rock, classic rock, singer-songwriter, rock, country rock, mellow gold",1996,71,294293,47,0.005,0.673,0.858,1.92e-05,0.274,-6.511,0.027,116.477,0.959,11,1,4
The Gypsy,The Anthology,1998-06-16,['The Ink Spots'],"vocal harmony group, lounge",1946,3,164533,33,0.812,0.531,0.125,0.0,0.103,-15.463,0.0552,76.056,0.222,7,1,4
Why Can't We Be Friends,Why Can't We Be Friends?,1975-01-01,['War'],"motown, funk, soul, classic soul",1975,24,230106,62,0.179,0.776,0.68,0.0,0.483,-10.088,0.0389,92.481,0.962,10,1,4
You Belong To Me,For Collectors Only,1996-11-05,['The Duprees'],doo-wop,1962,64,170186,42,0.893,0.322,0.36,2.92e-06,0.0918,-8.429,0.0273,97.63,0.378,1,1,3
Together,Tierra Greatest Hits,2017-08-04,['Tierra'],"souldies, classic soul",1981,53,255203,47,0.3,0.514,0.71,0.0,0.66,-6.004,0.0366,86.558,0.618,3,1,4
Running on Empty,Running on Empty / Nothing but Time (Digital 45),,['Jackson Browne'],"heartland rock, country rock, folk rock, folk, piano rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1978,82,291893,66,0.0635,0.541,0.711,0.0201,0.719,-13.492,0.0383,136.58,0.588,9,1,4
Rocky Mountain High,Rocky Mountain High,1972-09-15,['John Denver'],"folk rock, folk, classic country pop, soft rock, mellow gold, singer-songwriter",1973,29,283640,69,0.314,0.455,0.437,0.0,0.501,-11.411,0.0278,81.396,0.724,4,1,4
Mama Told Me (Not To Come) - Single Version,It Ain't Easy,1970-01-01,['Three Dog Night'],"heartland rock, country rock, hard rock, folk rock, album rock, soft rock, mellow gold, classic rock",1970,11,198933,65,0.373,0.673,0.673,0.0265,0.206,-13.941,0.0493,119.994,0.825,1,1,4
The Morning After - Single Version,Best Of/20th Century,2005-01-01,['Maureen McGovern'],bubblegum pop,1973,28,141720,42,0.475,0.408,0.511,0.0,0.625,-7.225,0.0263,80.176,0.354,6,1,4
Sugar (Gimme Some) [feat. Cee-Lo & Ludacris],Thug Matrimony: Married to the Streets,2004-10-26,"['Trick Daddy', 'CeeLo Green', 'Ludacris']","southern hip hop, dance pop, miami hip hop, crunk, rap, dirty south rap, trap, old school atlanta hip hop, atl hip hop, hip hop, pop rap",2005,55,245106,55,0.144,0.822,0.673,0.0,0.323,-6.141,0.228,120.02,0.85,4,0,4
Mercy,Brett Young,2017-02-10,['Brett Young'],"country road, contemporary country, country",2018,95,217120,68,0.84,0.638,0.367,0.0,0.0999,-7.906,0.0266,71.957,0.219,4,1,4
More Than I Can Say - Remastered,Living In A Fantasy,,['Leo Sayer'],"soft rock, mellow gold",1981,52,220533,50,0.198,0.728,0.511,0.00052,0.322,-11.178,0.0233,96.406,0.714,10,1,4
Daddy's Home,All the Hits and More,2018-10-05,['Shep And The Limelites'],,1961,41,174200,42,0.939,0.493,0.123,8.58e-06,0.146,-13.875,0.0366,144.64,0.273,5,1,3
Mam'selle,Peg O' My Heart & Other Hits,2023-02-03,['Art Lund'],,1947,11,196546,14,0.773,0.285,0.251,0.00333,0.357,-11.761,0.0312,74.848,0.306,4,1,4
Let's Stay Together,Let's Stay Together,,['Al Green'],"soul, funk, soul blues, classic soul, southern soul, memphis soul",1972,11,199396,77,0.582,0.756,0.401,0.011,0.0541,-10.702,0.0526,101.954,0.514,7,0,4
Keep On Walkin',Finally,1992-01-01,['CeCe Peniston'],diva house,1992,61,270837,44,0.00291,0.766,0.712,0.0201,0.226,-12.111,0.0427,104.974,0.655,6,1,4
Got to Be Real,Cheryl Lynn (Expanded Edition),1978-07-17,['Cheryl Lynn'],"soul, funk, post-disco, urban contemporary, quiet storm, minneapolis sound, disco",1979,69,307946,68,0.0943,0.836,0.626,0.742,0.153,-10.143,0.0335,114.657,0.898,9,0,4
867-5309 / Jenny,Tommy Tutone - 2,1981-12-04,['Tommy Tutone'],,1982,16,226200,64,0.0264,0.584,0.708,0.00364,0.112,-10.039,0.0593,137.657,0.564,5,1,4
I Can't Stay Mad at You,Let Me Get Close To You (With Bonus Tracks),2008-04-16,['Skeeter Davis'],nashville sound,1963,51,126080,28,0.621,0.543,0.763,1.78e-05,0.221,-5.097,0.0327,120.62,0.816,1,1,4
The Only Exception,Brand New Eyes,2009-09-28,['Paramore'],"pop punk, candy pop, rock, pixie, modern rock, pop, pop emo",2010,93,267653,75,0.144,0.452,0.563,0.0,0.143,-6.607,0.0272,137.715,0.209,4,1,3
Theme From Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain Sings (TV's Dr. Kildare),1962-02-03,['Richard Chamberlain'],,1962,39,162960,15,0.905,0.271,0.175,0.0,0.251,-14.515,0.0348,110.915,0.19,9,1,1
Cupid,112,1996-08-27,['112'],"urban contemporary, boy band, atl hip hop, contemporary r&b, r&b",1997,37,252266,65,0.373,0.685,0.38,0.0,0.0371,-11.219,0.112,175.562,0.87,8,1,4
Is This Love - 2018 Remaster,Whitesnake (2018 Remaster),1987-04-07,['Whitesnake'],"british blues, glam metal, hard rock, rock, metal, album rock, classic rock",1988,17,284496,60,0.0555,0.263,0.759,0.0,0.231,-7.288,0.0431,179.904,0.429,0,1,4
(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),,['Otis Redding'],"classic soul, memphis soul, southern soul, vocal jazz, soul blues, soul",1968,4,163755,80,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.0312,103.621,0.535,2,1,4
Roni,Don't Be Cruel,1988-01-01,['Bobby Brown'],"contemporary r&b, new jack swing, urban contemporary, r&b",1989,80,358333,56,0.0115,0.717,0.696,6.11e-05,0.0494,-11.94,0.0373,146.658,0.904,9,1,4
I Wish That We Were Married,I Wish That We Were Married,2018-01-19,['Ronnie And The Hi-Lites'],,1962,99,172066,9,0.844,0.522,0.422,1.94e-06,0.201,-8.772,0.0276,100.934,0.154,11,1,3
